"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"894","0.0","0.27111219","1","同啟","false","同啟","PERSON"
"895","2.1874E-4","0.31746936","3","同啓","false","同啓","PERSON"
"896","2.0511E-4","0.31477819","12","合興","false","合興","PERSON"
"897","7.115E-5","0.28353271","5","司徒美堂","false","司徒美堂","PERSON"
"898","6.0E-7","0.26746699","3","司徒博","false","司徒博","PERSON"
"899","2.884E-5","0.27594749","6","右仁","false","右仁","PERSON"
"900","0.0","0.31283347","1","史量才","false","史量才","PERSON"
"901","3.831E-5","0.28942582","5","史密斯","false","史密斯","PERSON"
"902","3.1349E-4","0.33243808","2","台鑒","false","台鑒","PERSON"
"903","0.00298147","0.36405229","6","西康省臨時參議會","false","西康省臨時參議會","ORG"
"904","0.00298147","0.36405229","6","濟委會委","false","濟委會委","ORG"
"905","0.00298147","0.36405229","6","河南省驛運管理","false","河南省驛運管理","ORG"
"906","8.1E-7","0.26721036","3","可託","false","可託","PERSON"
"907","8.6588E-4","0.3652459","11","選部","false","選部","ORG"
"908","8.6588E-4","0.3652459","11","舉華","false","舉華","ORG"
"909","8.6588E-4","0.3652459","11","公共和界納稅華人會","false","公共和界納稅華人會","ORG"
"910","8.057E-5","0.31336146","4","叩篠","false","叩篠","PERSON"
"911","2.871E-5","0.29063397","3","古拔","false","古拔","PERSON"
"912","0.00160284","0.3638145","5","紹興七縣同鄉會","false","紹興七縣同鄉會","ORG"
"913","0.00822674","0.36741425","22","省政府","false","省政府","ORG"
"914","2.53E-6","0.26888728","2","叔範","false","叔範","PERSON"
"915","0.0","0.26811071","1","及孔","false","及孔","PERSON"
"916","7.29E-6","0.28897536","2","卿開","false","卿開","PERSON"
"917","2.898E-5","0.29033099","5","卿謝","false","卿謝","PERSON"
"918","3.985E-5","0.28942582","5","卿童","false","卿童","PERSON"
"919","4.309E-5","0.29292664","4","卿故","false","卿故","PERSON"
"920","0.0","0.28882551","1","卿戴","false","卿戴","PERSON"
"921","3.36E-6","0.28912536","2","卿孩","false","卿孩","PERSON"
"922","3.295E-5","0.2907857","4","卿嚴","false","卿嚴","PERSON"
"923","5.288E-5","0.27912804","5","卓宣謀","false","卓宣謀","PERSON"
"924","0.0","0.26901715","1","包賡","false","包賡","PERSON"
"925","9.45E-6","0.27243825","9","包振","false","包振","PERSON"
"926","1.444E-5","0.27884856","3","勞勃生","false","勞勃生","PERSON"
"927","5.9223E-4","0.33564327","10","功王","false","功王","PERSON"
"928","0.00253751","0.36693017","18","臨時參議會","false","臨時參議會","ORG"
"929","0.00253751","0.36693017","18","省境內蒙古民","false","省境內蒙古民","ORG"
"930","0.00253751","0.36693017","18","省境內蒙古各盟","false","省境內蒙古各盟","ORG"
"931","2.884E-5","0.27594749","6","力格","false","力格","PERSON"
"932","0.04646686","0.36985392","30","新光標準內衣染織整理廠股份有限公司","false","新光標準內衣染織整理廠股份有限公司","ORG"
"933","0.0","0.27006061","1","劍霞","false","劍霞","PERSON"
"934","2.898E-5","0.29033099","5","劍鋒者","false","劍鋒者","PERSON"
"935","1.4033E-4","0.3645288","8","蘇俄國立內分泌研究院","false","蘇俄國立內分泌研究院","ORG"
"936","1.4033E-4","0.3645288","8","美最時洋行","false","美最時洋行","ORG"
"937","1.4033E-4","0.3645288","8","泰信藥行","false","泰信藥行","ORG"
"938","0.00114865","0.36548556","12","中國科學社","false","中國科學社","ORG"
"939","9.0543E-4","0.3652459","11","設愛","false","設愛","ORG"
"940","9.0543E-4","0.3652459","11","眼科","false","眼科","ORG"
"941","9.0543E-4","0.3652459","11","益盛木行","false","益盛木行","ORG"
"942","9.0543E-4","0.3652459","11","專門醫院","false","專門醫院","ORG"
"943","0.01317051","0.38801811","81","劉鴻生","false","劉鴻生","PERSON"
"944","0.00174102","0.36668861","17","振綸絲廠","false","振綸絲廠","ORG"
"945","0.00174102","0.36668861","17","仁濟翳院","false","仁濟翳院","ORG"
"946","0.00174102","0.36668861","17","中國紅十字會","false","中國紅十字會","ORG"
"947","5.8173E-4","0.31656721","5","劉瑞恒","false","劉瑞恒","PERSON"
"948","8.54E-6","0.27870903","3","劉廣","false","劉廣","PERSON"
"949","8.54E-6","0.27870903","3","劉季","false","劉季","PERSON"
"950","1.34E-6","0.26914714","6","劉堯夫","false","劉堯夫","PERSON"
"951","3.3548E-4","0.36429039","7","難民救濟協","false","難民救濟協","ORG"
"952","3.3548E-4","0.36429039","7","社會局","false","社會局","ORG"
"953","8.0347E-4","0.32582626","10","劉善德","false","劉善德","PERSON"
"954","0.0","0.27635822","1","劉唐","false","劉唐","PERSON"
"955","7.981E-5","0.31477819","6","劉仲","false","劉仲","PERSON"
"956","0.0","0.27912804","1","劉世芳","false","劉世芳","PERSON"
"957","0.0","0.31283347","1","則王","false","則王","PERSON"
"958","1.031E-4","0.31495618","5","初虞","false","初虞","PERSON"
