"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"3.83654054","0.0","0.26065149","0.0","1","7","false","趙味青","188.0","1","0","0","0.68482883","false","0","趙味青","0","0.0","PERSON"
"4.21362162","3.0E-8","0.23732553","0.0","3","8","false","淮振","9.0","3","0","0","0.64293093","false","0","淮振","6","1.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","姚泰山","188.0","1","0","0","0.68482883","false","0","姚泰山","0","0.0","PERSON"
"4.21362162","3.0E-8","0.23732553","0.0","3","8","false","孔殷卽","9.0","3","0","0","0.64293093","false","0","孔殷卽","6","1.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","葉宣桂","188.0","1","0","0","0.68482883","false","0","葉宣桂","0","0.0","PERSON"
"4.21362162","3.0E-8","0.23732553","0.0","3","8","false","伏祈　公","9.0","3","0","0","0.64293093","false","0","伏祈　公","6","1.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","程訪槎","188.0","1","0","0","0.68482883","false","0","程訪槎","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","金紫霆","188.0","1","0","0","0.68482883","false","0","金紫霆","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","榮瑞卿","188.0","1","0","0","0.68482883","false","0","榮瑞卿","0","0.0","PERSON"
"3.48194595","0.0011768","0.28719573","0.0","41","6","false","勸戒紙烟職員會","11.56097561","41","0","0","0.72422823","false","0","勸戒紙烟職員會","8407366","0.04532608","ORG"
"3.83654054","0.0","0.26065149","0.0","1","7","false","張詠沂","188.0","1","0","0","0.68482883","false","0","張詠沂","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","潘蒓卿","188.0","1","0","0","0.68482883","false","0","潘蒓卿","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","金鏡清","188.0","1","0","0","0.68482883","false","0","金鏡清","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","柳壽春","188.0","1","0","0","0.68482883","false","0","柳壽春","0","0.0","PERSON"
