DocId,Date,Title,Source
SPSP192305191404,19230519,聯華總會歡送怡和經理回國,shunpao
SPSP192212291314,19221229,招商局股東之兩會議,shunpao
SPSP191803031102,19180303,慈善救濟會開會紀,shunpao
SPSP192106171112,19210617,上海時疫醫院定期開幕,shunpao
SPSP191908261011,19190826,總商會常會之三議案,shunpao
SPSP192406121504,19240612,逖百克律師返滬,shunpao
SPSP192601051611,19260105,醫訊,shunpao
SPSP192604091313,19260409,總商會明日開會董常會,shunpao
SPSP191712181004,19171218,定期公宴日本海軍軍官,shunpao
SPSP190311120314,19031112,預募棉衣,shunpao
SPSP190309011001,19030901,永綏福禄,shunpao
SPSP190306020909,19030602,三月初一日至四月三十集福册淸單,shunpao
SPSP190301040906,19030104,十月十七日至十一月望日安懷册捐清單,shunpao
SPSP190202270311,19020227,上海六馬路仁濟善堂施醫給藥啓,shunpao
SPSP190104061002,19010406,庚子冬季各洋貨寳號季捐,shunpao
SPSP190403070310,19040307,上海六馬路仁濟善堂施醫給藥開診啓,shunpao
SPSP190411140312,19041114,預募棉衣,shunpao
SPSP190406210307,19040621,添醫募欵,shunpao
SPSP190902061204,19090206,實業,shunpao
SPSP190810272701,19081027,日本歡迎美艦隊七誌,shunpao
SPSP189306030402,18930603,衆善共躋,shunpao
SPSP189306160406,18930616,堂宇落成布告同緣光臨啓,shunpao
SPSP189911140303,18991114,上海官塲紀事,shunpao
SPSP190001110905,19000111,仁心爲質,shunpao
SPSP191210180615,19121018,紅十字會之公電,shunpao
SPSP190411140307,19041114,起解棉衣,shunpao
SPSP190606121006,19060612,四馬路愼裕號經手第三次湖南賑捐清單,shunpao
SPSP190903131902,19090313,五誌租界食鹽事宜之交涉,shunpao
SPSP192401131315,19240113,法正領事昨日起程赴新,shunpao
SPSP192611281516,19261128,法租界外國酒店失愼,shunpao
SPSP192105101011,19210510,日輪大洋丸將抵滬,shunpao
SPSP191604010219,19160401,特聘西醫譚以禮設診華英藥房,shunpao
SPSP191811181106,19181118,商輪公司呈請備案,shunpao
SPSP194307230321,19430723,簡訊,shunpao
SPSP194712130420,19471213,私套外匯嫌疑兩起,shunpao
SPSP192407061520,19240706,來函,shunpao
SPSP192412172302,19241217,康成酒廠廉價二十一天,shunpao
SPSP192512042014,19251204,博郎餅乾到滬,shunpao
SPSP192308031102,19230803,杭州快信,shunpao
SPSP192012231118,19201223,加惠貧病之慈善家,shunpao
SPSP191505170107,19150517,遠東運動大會,shunpao
SPSP191809041024,19180904,滬商創辦釀酒廠,shunpao
SPSP191801201105,19180120,明强學校定期休假,shunpao
SPSP191706281020,19170628,明强學校預科畢業預誌,shunpao
SPSP194611040614,19461104,條用中國人名的路,shunpao
SPSP192312181420,19231218,時濟醫院昨日開幕,shunpao
SPSP192501031703,19250103,康成酒廠大廉價將届滿期,shunpao
SPSP192606132108,19260613,康成送禮之佳品,shunpao
SPSP192307211709,19230721,平安旅社注重淸潔,shunpao
SPSP191810101130,19181010,中華職業教育社特別通訊,shunpao
SPSP192206131310,19220613,舟山號輪船下水禮紀,shunpao
SPSP192111041530,19211104,又一挖租交涉,shunpao
SPSP191907251012,19190725,廣東銀行又開大宴會,shunpao
SPSP190801020303,19080102,旅漢浙江官商續開拒欵會,shunpao
SPSP192609141122,19260914,迷路女孩待領,shunpao
SPSP192103021104,19210302,台屬急振會續辦振米,shunpao
SPSP191810131315,19181013,介紹楊伯芳内科良醫濟世,shunpao
SPSP191708151023,19170815,閘北醫院添造病房,shunpao
SPSP191712221021,19171222,救濟婦孺會五周年大會預誌,shunpao
SPSP191611011003,19161101,産出,shunpao
SPSP192008181111,19200818,慈善團宴客籌賑,shunpao
SPSP191812131142,19181213,寜波同鄉會募捐近訊,shunpao
SPSP190212310308,19021231,叩募仁施,shunpao
SPSP190103060314,19010306,定期開診,shunpao
SPSP190103100314,19010310,上海六馬路仁濟善堂施醫給藥啓,shunpao
SPSP190206220308,19020622,痌瘝在抱,shunpao
SPSP190108150908,19010815,四月十六起至六月廿三日止藥捐,shunpao
